,modelsize,task_name,accuracy,error,seed,trainset,testset
7,2fach,TUABCOMBR_test_TUABEXBR,84.25,15.75,5157,TUABCOMB-R,TUABEXB-R
8,2fach,TUABCOMBR_test_TUABEXBR,84.81,15.189999999999998,15011963,TUABCOMB-R,TUABEXB-R
9,2fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,682016,TUABCOMB-R,TUABEXB-R
0,4fach,TUABCOMBR_test_TUABEXBR,84.14,15.86,0,TUABCOMB-R,TUABEXB-R
1,4fach,TUABCOMBR_test_TUABEXBR,83.8,16.200000000000003,1,TUABCOMB-R,TUABEXB-R
2,4fach,TUABCOMBR_test_TUABEXBR,83.58,16.42,19022005,TUABCOMB-R,TUABEXB-R
3,4fach,TUABCOMBR_test_TUABEXBR,84.81,15.189999999999998,20110407,TUABCOMB-R,TUABEXB-R
4,4fach,TUABCOMBR_test_TUABEXBR,83.46,16.540000000000006,20170629,TUABCOMB-R,TUABEXB-R
5,4fach,TUABCOMBR_test_TUABEXBR,84.93,15.069999999999993,42,TUABCOMB-R,TUABEXB-R
6,4fach,TUABCOMBR_test_TUABEXBR,84.25,15.75,73,TUABCOMB-R,TUABEXB-R
7,4fach,TUABCOMBR_test_TUABEXBR,83.69,16.310000000000002,5157,TUABCOMB-R,TUABEXB-R
8,4fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,15011963,TUABCOMB-R,TUABEXB-R
9,4fach,TUABCOMBR_test_TUABEXBR,85.04,14.959999999999994,682016,TUABCOMB-R,TUABEXB-R
