,modelsize,task_name,accuracy,error,seed,trainset,testset
3,2fach,TUABCOMBR_test_TUABEXBR,84.59,15.409999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,2fach,TUABCOMBR_test_TUABEXBR,84.36,15.64,20170629,TUABCOMB-R,TUABEXB-R
5,2fach,TUABCOMBR_test_TUABEXBR,85.15,14.849999999999994,42,TUABCOMB-R,TUABEXB-R
6,2fach,TUABCOMBR_test_TUABEXBR,82.68,17.319999999999993,73,TUABCOMB-R,TUABEXB-R
7,2fach,TUABCOMBR_test_TUABEXBR,84.81,15.189999999999998,5157,TUABCOMB-R,TUABEXB-R
8,2fach,TUABCOMBR_test_TUABEXBR,85.83,14.170000000000002,15011963,TUABCOMB-R,TUABEXB-R
9,2fach,TUABCOMBR_test_TUABEXBR,83.69,16.310000000000002,682016,TUABCOMB-R,TUABEXB-R
0,4fach,TUABCOMBR_test_TUABEXBR,83.24,16.760000000000005,0,TUABCOMB-R,TUABEXB-R
1,4fach,TUABCOMBR_test_TUABEXBR,82.23,17.769999999999996,1,TUABCOMB-R,TUABEXB-R
2,4fach,TUABCOMBR_test_TUABEXBR,83.91,16.090000000000003,19022005,TUABCOMB-R,TUABEXB-R
3,4fach,TUABCOMBR_test_TUABEXBR,83.91,16.090000000000003,20110407,TUABCOMB-R,TUABEXB-R
4,4fach,TUABCOMBR_test_TUABEXBR,84.36,15.64,20170629,TUABCOMB-R,TUABEXB-R
5,4fach,TUABCOMBR_test_TUABEXBR,86.84,13.159999999999997,42,TUABCOMB-R,TUABEXB-R
6,4fach,TUABCOMBR_test_TUABEXBR,82.0,18.0,73,TUABCOMB-R,TUABEXB-R
7,4fach,TUABCOMBR_test_TUABEXBR,82.68,17.319999999999993,5157,TUABCOMB-R,TUABEXB-R
8,4fach,TUABCOMBR_test_TUABEXBR,82.0,18.0,15011963,TUABCOMB-R,TUABEXB-R
9,4fach,TUABCOMBR_test_TUABEXBR,84.25,15.75,682016,TUABCOMB-R,TUABEXB-R
